r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,56.80,1,34.09
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,61.20,1,36.74
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,54.60,1,32.77
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,55.50,1,33.31
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,66.80,1,40.10
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,62.90,1,37.76
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,60.30,1,36.20
100.00,25.00,200.00,300.00,245.00,2.45,0.82,0.00,494.00,0.00,27.50,62.90,1,37.76
50.00,20.00,170.00,300.00,270.00,2.20,1.10,0.00,560.00,0.00,39.70,60.00,1,35.64
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,55.50,1,27.74
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,59.00,1,29.49
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,55.50,1,27.74
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,59.00,1,29.49
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,67.30,1,33.64
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,64.70,1,32.34
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,66.00,1,32.99
100.00,25.00,200.00,300.00,245.00,2.04,0.82,0.00,494.00,0.00,27.50,66.80,1,33.39
0.00,20.00,100.00,200.00,180.00,2.00,1.90,0.00,560.00,305.00,31.67,31.50,1,11.34
25.00,20.00,100.00,200.00,180.00,2.00,1.90,0.00,560.00,305.00,30.42,43.30,1,15.59
50.00,20.00,100.00,200.00,180.00,2.00,1.90,0.00,560.00,305.00,29.58,35.50,1,12.78
